"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"A. Feliz",30001114,29584,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/02/80/0000510280_03.jpg",1693573200
"W. Hernangómez",20209187,28894,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/62/33/0000506233_03.jpg",1693659600
"J. Parra",20212265,28980,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/60/79/0000506079_03.jpg",1693573200
"O. Da Silva",30001950,28978,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/61/83/0000506183_03.jpg",1693573200
"N. Laprovittola",20211947,28970,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/61/19/0000506119_03.jpg",1693573200
"T. Satoransky",20202163,28984,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/62/11/0000506211_03.jpg",1693573200
"A. Andrews",30002731,28806,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/39/19/0000503919_03.jpg",1693573200
"D. Thomas",20211332,28807,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/40/05/0000504005_03.jpg",1693573200
"A. Tomic",20202172,28803,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/39/43/0000503943_03.jpg",1693573200
"P. Busquets",20211754,28815,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/41/53/0000504153_03.jpg",1693573200
"J. Vesely",30001949,28974,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/60/56/0000506056_03.jpg",1693573200
"D. Brizuela",20209919,28982,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/59/64/0000505964_03.jpg",1693573200
"V. Brodziansky",20212971,28817,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/41/80/0000504180_03.jpg",1693573200
"P. Ribas",20200836,28811,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/41/30/0000504130_03.jpg",1693573200
"R. Jokubaitis",30001217,29488,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/89/12/0000508912_03.jpg",1693573200
"G. Vives",20204158,28809,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/40/41/0000504041_03.jpg",1693573200
"C. Onuaku",30002730,28801,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/39/74/0000503974_03.jpg",1693573200
"N. Kalinic",30000314,28972,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/61/41/0000506141_03.jpg",1693573200
"J. Parker",30002721,28968,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/60/10/0000506010_03.jpg",1693573200
"Y. Kraag",30000095,28813,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/42/05/0000504205_03.jpg",1693573200
"A. Abrines",20209223,28966,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/59/23/0000505923_03.jpg",1693573200
"J. Nnaji",30001353,28987,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/60/32/0000506032_03.jpg",1693573200
"A. Renfroe",20210271,28938,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/54/76/0000505476_03.jpg",1693573200
"T. Hlinason",20212461,28926,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/56/86/0000505686_03.jpg",1693573200
"D. Andersson",30001983,28930,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/55/29/0000505529_03.jpg",1693573200
"A. Smith",30002057,28924,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/54/55/0000505455_03.jpg",1693573200
"X. Rabaseda",20203590,28936,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/57/21/0000505721_03.jpg",1693573200
"T. Pérez",30000053,28867,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/51/44/0000505144_03.jpg",1693573200
"M. Maric",30002694,28887,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/49/92/0000504992_03.jpg",1693573200
"T. Borg",20211333,28873,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/51/25/0000505125_03.jpg",1693573200
"R. Luz",20200274,28881,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/50/81/0000505081_03.jpg",1693573200
"S. Okoye",20212966,28871,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/51/01/0000505101_03.jpg",1693573200
"F. Dos Anjos",20210122,29570,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/00/04/0000510004_03.jpg",1693573200
"Killeya-Jones",30002688,28942,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/56/25/0000505625_03.jpg",1693573200
"A. Goudelock",30001111,28877,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/49/39/0000504939_03.jpg",1693573200
"M. Starks",30002677,28869,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/50/09/0000505009_03.jpg",1693580400
"J. Rubio",20210544,28883,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/49/70/0000504970_03.jpg",1693573200
"M. Andric",30002695,28885,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/50/29/0000505029_03.jpg",1693573200
"A. Reyes",20204133,28928,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/55/02/0000505502_03.jpg",1693573200
"M. Pantzar",20212357,28934,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/55/97/0000505597_03.jpg",1693573200
"G. Tsalmpouris",30002108,28946,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/55/48/0000505548_03.jpg",1693573200
"K. Kullamae",30001225,28940,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/55/76/0000505576_03.jpg",1693573200
"N. Llovet",20203810,28879,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/50/50/0000505050_03.jpg",1693573200
"T. De Ridder",30002687,28932,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/56/48/0000505648_03.jpg",1693573200
"T. Rigo",20211649,28944,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/56/68/0000505668_03.jpg",1693573200
"A. Somogyi",30001091,28875,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/49/20/0000504920_03.jpg",1693573200
"Z. Sisko",30002701,29537,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/88/40/0000508840_03.jpg",1693573200
"S. Momirov",30001889,29541,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/88/21/0000508821_03.jpg",1693573200
"T. Sedekerskis",20210830,29588,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/03/40/0000510340_03.jpg",1693573200
"M. Rudan",30002675,29531,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/87/28/0000508728_03.jpg",1693573200
"M. Sajus",30000272,29540,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/86/93/0000508693_03.jpg",1693573200
"M. Costello",30000032,29113,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/77/94/0000507794_03.jpg",1693573200
"A. Polite",30002698,29502,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/86/13/0000508613_03.jpg",1693573200
"Miller-McIntyre",30001133,29117,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/76/37/0000507637_03.jpg",1693573200
