nombre,pos,num,alt,nac,edad,lic,tm,codigo,foto
Víctor Claver,A,1,208,España,35,JFL,Valencia Basket,20201901,https://static.acb.com/media/PRO/00/00/50/93/19/0000509319_5-6_03.jpg
Josep Puerto,E,2,199,España,24,JFL,Valencia Basket,20210392,https://static.acb.com/media/PRO/00/00/50/92/20/0000509220_5-6_03.jpg
Nate Reuvers,AP,3,211,EE.UU.,24,EXT,Valencia Basket,30002724,https://static.acb.com/media/PRO/00/00/50/92/96/0000509296_5-6_03.jpg
Jaime Pradilla,AP,4,202,España,22,JFL,Valencia Basket,20211129,https://static.acb.com/media/PRO/00/00/50/91/81/0000509181_5-6_03.jpg
Xabi López-Arostegui,A,6,200,España,26,JFL,Valencia Basket,20211660,https://static.acb.com/media/PRO/00/00/50/93/37/0000509337_5-6_03.jpg
Chris Jones,B,7,188,Armenia,30,EUR,Valencia Basket,30002048,https://static.acb.com/media/PRO/00/00/50/91/22/0000509122_5-6_03.jpg
Guillem Ferrando,B,8,184,España,21,JFL,Valencia Basket,20212102,https://static.acb.com/media/PRO/00/00/50/91/62/0000509162_5-6_03.jpg
Damien Inglis,AP,10,206,Francia,28,EUR,Valencia Basket,30001509,https://static.acb.com/media/PRO/00/00/50/91/43/0000509143_5-6_03.jpg
Stefan Jovic,B,16,198,Serbia,32,EUR,Valencia Basket,30002442,https://static.acb.com/media/PRO/00/00/51/04/64/0000510464_5-6_03.jpg
Boubacar Touré,P,21,213,Senegal,27,COT,Valencia Basket,30002729,https://static.acb.com/media/PRO/00/00/50/90/81/0000509081_5-6_03.jpg
Martin Hermannsson,B,24,190,Islandia,29,EUR,Valencia Basket,30000313,https://static.acb.com/media/PRO/00/00/50/92/77/0000509277_5-6_03.jpg
Kassius Robertson,E,30,190,Jamaica,29,COT,Valencia Basket,30000287,https://static.acb.com/media/PRO/00/00/50/92/50/0000509250_5-6_03.jpg
Brandon Davies,P,32,208,Uganda,32,COT,Valencia Basket,30000019,https://static.acb.com/media/PRO/00/00/50/91/05/0000509105_5-6_03.jpg
Semi Ojeleye,A,37,201,Nigeria,28,COT,Valencia Basket,30002811,https://static.acb.com/media/PRO/00/00/51/04/69/0000510469_5-6_03.jpg
Alejo  Maggi, ,57,0,Italia,21,EUR | INF,Valencia Basket,30002835,/Images/Web/silueta2.gif
Jared Harper,B,0,178,EE.UU.,26,EXT,Valencia Basket,30002061,https://static.acb.com/media/PRO/00/00/50/92/02/0000509202_5-6_03.jpg
Dylan Osetkowski,AP,1,206,Alemania,27,EUR,Unicaja,30001979,https://static.acb.com/media/PRO/00/00/50/72/12/0000507212_5-6_03.jpg
Melvin Ejim,A,3,201,Nigeria,32,COT,Unicaja,30000049,https://static.acb.com/media/PRO/00/00/50/78/85/0000507885_5-6_03.jpg
Tyler Kalinoski,E,4,193,EE.UU.,30,EUR,Unicaja,30001169,https://static.acb.com/media/PRO/00/00/50/74/75/0000507475_5-6_03.jpg
Kameron Taylor,E,6,198,EE.UU.,28,EXT,Unicaja,30001981,https://static.acb.com/media/PRO/00/00/50/73/36/0000507336_5-6_03.jpg
Jonathan Barreiro,A,7,203,España,26,JFL,Unicaja,20200191,https://static.acb.com/media/PRO/00/00/50/72/98/0000507298_5-6_03.jpg
Alberto Díaz,B,9,190,España,29,JFL,Unicaja,20209226,https://static.acb.com/media/PRO/00/00/50/71/00/0000507100_5-6_03.jpg
Tyson Carter,B,11,193,EE.UU.,25,EXT,Unicaja,30001978,https://static.acb.com/media/PRO/00/00/50/74/97/0000507497_5-6_03.jpg
Nihad Djedovic,E,14,197,Alemania,33,JFL,Unicaja,20202039,https://static.acb.com/media/PRO/00/00/50/74/43/0000507443_5-6_03.jpg
Mario Saint-Supery,B,17,194,España,17,JFL | INF,Unicaja,20213210,https://static.acb.com/media/PRO/00/00/50/74/11/0000507411_5-6_03.jpg
